6.95413e+07;2.10891e+07;;7.99013e+07;2.42309e+07;
6.96883e+07;2.52744e+07;;8.0276e+07;2.91144e+07;
6.95667e+07;2.92381e+07;;8.03786e+07;3.37822e+07;
6.9349e+07;3.30597e+07;;8.03436e+07;3.83011e+07;
6.90062e+07;3.67376e+07;;8.0076e+07;4.26309e+07;
6.85809e+07;4.03085e+07;;7.96173e+07;4.67952e+07;
6.80307e+07;4.37627e+07;;7.89375e+07;5.07788e+07;
6.73902e+07;4.71329e+07;;7.79187e+07;5.44966e+07;
6.66376e+07;5.04194e+07;;7.68024e+07;5.81103e+07;
6.57862e+07;5.36416e+07;;7.55776e+07;6.16255e+07;
6.48302e+07;5.68078e+07;;7.41176e+07;6.49459e+07;
6.37733e+07;5.99169e+07;;7.24055e+07;6.8027e+07;
6.23514e+07;6.32267e+07;;7.0287e+07;7.12736e+07;
6.11781e+07;6.61165e+07;;6.84043e+07;7.39261e+07;
5.97056e+07;6.91244e+07;;6.59904e+07;7.64006e+07;
5.69273e+07;7.0703e+07;;6.31195e+07;7.83937e+07;
5.38862e+07;7.19379e+07;;5.98372e+07;7.98825e+07;
5.0753e+07;7.3036e+07;;5.63338e+07;8.1067e+07;
4.73273e+07;7.3698e+07;;5.26607e+07;8.20032e+07;
4.37754e+07;7.41429e+07;;4.88437e+07;8.27271e+07;
4.01637e+07;7.44873e+07;;4.48769e+07;8.32285e+07;
3.63755e+07;7.45243e+07;;4.07371e+07;8.34601e+07;
3.23773e+07;7.41378e+07;;3.6419e+07;8.33925e+07;
2.83189e+07;7.36289e+07;;3.19696e+07;8.31209e+07;
2.41884e+07;7.29967e+07;;2.73844e+07;8.26417e+07;
1.99695e+07;7.22335e+07;;2.26314e+07;8.1862e+07;
1.56489e+07;7.13342e+07;;1.77417e+07;8.08741e+07;
1.12086e+07;7.02865e+07;;1.27013e+07;7.96466e+07;
6.63361e+06;6.90802e+07;;7.50877e+06;7.81939e+07;
1.90559e+06;6.76977e+07;;2.15183e+06;7.64456e+07;
-2.99491e+06;6.61228e+07;;-3.36798e+06;7.43595e+07;
